points,age,sbp_no_rx,sbp_rx,hdl,tchl,smk,dm,risk_points,risk,heart_points,heart_age
-2,,110,,70,,,,-5,<1,-5,<30
-1,,,,55,,,,-4,<1,-4,<30
0,32,125,110,47,150,No,No,-3,<1,-3,<30
1,,135,,40,180,,,-2,1.1,-2,<30
2,37,145,125,30,220,,,-1,1.4,-1,<30
3,,170,135,,260,,Yes,0,1.6,0,30
4,,,145,,300,Yes,,1,1.9,1,32
5,42,,170,,,,,2,2.3,2,34
6,47,,,,,,,3,2.8,3,36
7,,,,,,,,4,3.3,4,38
8,52,,,,,,,5,3.9,5,40
9,,,,,,,,6,4.7,6,42
10,57,,,,,,,7,5.6,7,45
11,62,,,,,,,8,6.7,8,48
12,67,,,,,,,9,7.9,9,51
13,,,,,,,,10,9.4,10,54
14,72,,,,,,,11,11.2,11,57
15,77,,,,,,,12,13.2,12,60
2,,155,,,,,,13,15.6,13,64
4,,,155,,,,,14,18.4,14,68
,,,,,,,,15,21.6,15,72
,,,,,,,,16,25.3,16,76
,,,,,,,,17,29.4,17,>80
,,,,,,,,18,>30,18,>80
,,,,,,,,19,>30,19,>80
,,,,,,,,20,>30,20,>80
,,,,,,,,21,>30,21,>80
,,,,,,,,22,>30,22,>80
,,,,,,,,23,>30,23,>80
,,,,,,,,24,>30,24,>80
,,,,,,,,25,>30,25,>80
,,,,,,,,26,>30,26,>80
,,,,,,,,27,>30,27,>80
,,,,,,,,28,>30,28,>80
,,,,,,,,29,>30,29,>80
,,,,,,,,30,>30,30,>80
,,,,,,,,31,>30,31,>80
,,,,,,,,32,>30,32,>80
,,,,,,,,33,>30,33,>80
,,,,,,,,34,>30,34,>80
,,,,,,,,35,>30,35,>80
,,,,,,,,36,>30,36,>80
,,,,,,,,37,>30,37,>80
,,,,,,,,38,>30,38,>80
,,,,,,,,39,>30,39,>80
,,,,,,,,40,>30,40,>80
